year,quarter,bls_wage_goods,bls_wage_private,bls_wage_private_extended,nipa_comp,nipa_wage,nipa_comp_wage_ratio,bls_comp_private,bls_hours_millions,nipa_ndp,productivity,bls_comp_private_cpi_u_rs,productivity_cpi_u_rs,bls_comp_private_c_cpi_u,productivity_c_cpi_u,bls_comp_private_cpi_u_rs_index,bls_comp_private_c_cpi_u_index,productivity_cpi_u_rs_index,productivity_c_cpi_u_index
2008,1,19.063333333333333,17.803333333333335,17.803333333333335,8054870,6539394,1.231745632699299,21.92917808082319,268440,12386744,46.14343614960512,31.569303786330845,66.42821487349433,30.351124422685306,63.86491854392051,1.0754309965387898,1.1062650604781303,1.4166454666833248,1.4572626118462173
2008,2,19.213333333333335,17.976666666666667,17.976666666666667,8054881,6532655,1.2330179689574912,22.165553021959166,267741,12518501,46.756010472807674,31.5057987116933,66.45832175081458,30.28402063482132,63.88110346525771,1.0732676505820666,1.103819201309757,1.4172875247508636,1.4576319175821066
2008,3,19.436666666666667,18.16,18.16,8074387,6547155,1.2332665104155927,22.396119829147164,265600,12522958,47.14969126506024,31.350846316032264,66.00173315627242,30.115256782118045,63.400493946140294,1.0679890859862273,1.0976679447329902,1.4075503345549618,1.4466654230014309
2008,4,19.636666666666667,18.313333333333333,18.313333333333333,8043164,6517178,1.2341482770610224,22.601368780577523,260603,12215395,46.87357781759995,32.37792005456525,67.14942665569453,31.05406162824101,64.40384157329363,1.1029770902078349,1.131886347498231,1.4320260004477536,1.4695596976215364
2009,1,19.77,18.443333333333335,18.443333333333335,7730374,6225578,1.2417118539033645,22.901305625491055,254890,12043461,47.249641021617165,33.02875010977894,68.14443733472908,31.748264766878798,65.5025585800903,1.1251480832583345,1.157189287397724,1.4532455585894288,1.4946301001446876
2009,2,19.85,18.536666666666665,18.536666666666665,7761958,6254486,1.2410225236734083,23.00442084715941,250385,12012181,47.974842742177046,33.000914069695796,68.8221482888255,31.761785601475772,66.2379931042558,1.1241998285698902,1.1576821069287184,1.4676983954249616,1.5114111633631475
2009,3,19.933333333333334,18.653333333333332,18.653333333333332,7746527,6237216,1.2419847252363876,23.167155074742748,247799,12089901,48.7891436204343,32.957264723214514,69.40674056568169,31.70340368635351,66.76615711855088,1.1227128822468941,1.1555541504166595,1.4801653870556044,1.5234627511284322
2009,4,20.04,18.793333333333333,18.793333333333333,7797217,6279158,1.2417615546543024,23.336838817136524,247427,12281619,49.637343539710706,32.93793198075217,70.05882236353514,31.706040597403533,67.43859533630024,1.1220542984962727,1.1556502629204866,1.4940716575250885,1.5388063716300187
2010,1,20.116666666666667,18.9,18.9,7767627,6233246,1.2461608285634804,23.552439659849778,248223,12390059,49.915032047795734,33.19010289337326,70.3402735987704,31.973423672310034,67.76174741684002,1.130644681663849,1.1653960815403457,1.5000738753665246,1.5461800198808513
2010,2,20.203333333333333,19,19,7910633,6360695,1.243674315463955,23.629811993815142,251161,12597469,50.15694713749348,33.309583336606806,70.70335604123349,32.104081630574726,68.14454239686613,1.1347148687355444,1.1701584202296367,1.5078169570845446,1.554914593182011
